case_id,dtype,accumulate,shape,config,modeled_bandwidth_gbps,cycles,sim_instructions,ipc,time_us_at_1410mhz,slowdown_vs_a100,perf_drop_vs_a100,trace_path,replay_log,status
fp16_2048x12288x12288_a100,fp16,fp32,2048x12288x12288,SM80_A100,1935.36,4848187,10244247315,2113.0059,3438.430496,1.000000,0.000000,modal/artifacts/fp16-2048x12288x12288-gemm3-retrace3/traces/reprocessed/,modal/artifacts/fp16-2048x12288x12288-gemm3-retrace3/reprocessed_sim_bar0_20260327-010117_pty/sim_live.out,verified
fp16_2048x12288x12288_a100_lpddr5x,fp16,fp32,2048x12288x12288,SM80_A100_LPDDR5X,819.2,14992260,10244247315,683.3024,10632.808511,3.092344,0.676621,modal/artifacts/fp16-2048x12288x12288-gemm3-retrace3/traces/reprocessed/,modal/artifacts/fp16-2048x12288x12288-gemm3-retrace3/reprocessed_sim_lpddr5x_quiet_fg_20260327-105500/sim_live.out,verified
